dept_no,dept_name,emp_no,last_name,first_name,to_date
d005,Development,10001,Facello,Georgi,1/1/9999
d004,Production,10004,Koblick,Chirstian,1/1/9999
d006,Quality Management,10009,Peac,Sumant,1/1/9999
d004,Production,10018,Peha,Kazuhide,1/1/9999
d005,Development,10018,Peha,Kazuhide,1/1/9999
d004,Production,10035,Chappelet,Alain,1/1/9999
d007,Sales,10053,Zschoche,Sanjiv,1/1/9999
d001,Marketing,10058,McFarlin,Berhard,1/1/9999
d005,Development,10066,Schusler,Kwee,1/1/9999
d006,Quality Management,10067,Stavenow,Claudi,1/1/9999
d005,Development,10070,Garigliano,Reuven,1/1/9999
d008,Research,10070,Garigliano,Reuven,1/1/9999
d005,Development,10072,Sidou,Hironoby,1/1/9999
d005,Development,10076,Ritzmann,Erez,1/1/9999
d007,Sales,10088,Syrzycki,Jungsoon,1/1/9999
d009,Customer Service,10088,Syrzycki,Jungsoon,1/1/9999
d003,Human Resources,10100,Haraldson,Hironobu,1/1/9999
d005,Development,10103,Birch,Akemi,1/1/9999
d009,Customer Service,10126,Valtorta,Kayoko,1/1/9999
d005,Development,10129,Peir,Armond,1/1/9999
d004,Production,10130,Casperson,Nishit,1/1/9999
d004,Production,10134,Siprelle,Diederik,1/1/9999
d005,Development,10134,Siprelle,Diederik,1/1/9999
d006,Quality Management,10138,Shimshoni,Perry,1/1/9999
d005,Development,10150,Perng,Zhenbing,1/1/9999
d005,Development,10153,Majewski,Heekeun,1/1/9999
d005,Development,10157,Aloisi,Nigel,1/1/9999
d005,Development,10198,Furedi,Pranav,1/1/9999
d007,Sales,10215,Duclos,Xiaobin,1/1/9999
d004,Production,10224,Trogemann,Leon,1/1/9999
d003,Human Resources,10233,Vendrig,Lein,1/1/9999
d005,Development,10258,Ishibashi,Basil,1/1/9999
d002,Finance,10272,Cannane,Yishai,1/1/9999
d004,Production,10282,Benzmuller,Hercules,1/1/9999
d005,Development,10283,Birjandi,Kauko,1/1/9999
d008,Research,10326,Czap,Masali,1/1/9999
d001,Marketing,10340,Laventhal,Djelloul,1/1/9999
d008,Research,10347,Kaminger,Pradeep,1/1/9999
d007,Sales,10355,Cochrane,Satyanarayana,1/1/9999
d008,Research,10356,Standera,Vasilis,1/1/9999
d004,Production,10364,Dengi,Nakhoon,1/1/9999
d004,Production,10372,Frijda,Anneli,1/1/9999
d009,Customer Service,10387,Wrigley,Parto,1/1/9999
d005,Development,10396,Rahier,Sibyl,1/1/9999
d006,Quality Management,10402,Ebeling,Volkmar,1/1/9999
d005,Development,10404,Rosti,Prodip,1/1/9999
d005,Development,10426,Luce,Arunas,1/1/9999
d005,Development,10429,Improta,Martien,1/1/9999
d009,Customer Service,10432,Tiemann,Hisao,1/1/9999
d004,Production,10451,Ranta,Bodh,1/1/9999
d009,Customer Service,10453,Matzel,Tsvetan,1/1/9999
d007,Sales,10463,Zaiane,Ung,1/1/9999
d006,Quality Management,10486,Kossowski,Amstein,1/1/9999
d004,Production,10494,Servieres,Yakkov,1/1/9999
d007,Sales,10504,Varker,Xiong,1/1/9999
d003,Human Resources,10512,Gihr,Udi,1/1/9999
d003,Human Resources,10522,Cesareni,Marke,1/1/9999
d001,Marketing,10548,Gunderson,Ramalingam,1/1/9999
d007,Sales,10548,Gunderson,Ramalingam,1/1/9999
d004,Production,10564,Thisen,Jianhao,1/1/9999
d005,Development,10623,Danlos,Aleksander,1/1/9999
d008,Research,10623,Danlos,Aleksander,1/1/9999
d005,Development,10628,Krogh,Krisda,1/1/9999
d005,Development,10631,Chaudhuri,Inderjeet,1/1/9999
d005,Development,10642,Narlikar,Hirochika,1/1/9999
d005,Development,10653,Feinberg,Otmar,1/1/9999
d003,Human Resources,10671,Rebaine,Parviz,1/1/9999
d005,Development,10676,Danley,Valeri,1/1/9999
d009,Customer Service,10693,Daescu,Berhard,1/1/9999
d005,Development,10702,Szemeredi,Bader,1/1/9999
d005,Development,10718,Rullman,Adib,1/1/9999
d005,Development,10726,Minakawa,Zita,1/1/9999
d004,Production,10734,Erdi,Sachar,1/1/9999
d004,Production,10745,Ranze,Poorav,1/1/9999
d004,Production,10749,Brendel,King,1/1/9999
d007,Sales,10767,Doering,Monique,1/1/9999
d004,Production,10768,Candan,Ishfaq,1/1/9999
d001,Marketing,10778,Merey,Selwyn,1/1/9999
d005,Development,10791,Sgarro,Tadahiko,1/1/9999
d007,Sales,10795,Naudin,Supot,1/1/9999
d005,Development,10808,Leijenhorst,Chenxi,1/1/9999
d004,Production,10835,Kermarrec,Tomoyuki,1/1/9999
d007,Sales,10836,Leivant,Jianhua,1/1/9999
d009,Customer Service,10836,Leivant,Jianhua,1/1/9999
d005,Development,10844,Koprowski,Dipayan,1/1/9999
d008,Research,10847,Danley,Theirry,1/1/9999
d004,Production,10848,Bratsberg,Fen,1/1/9999
d007,Sales,10878,Deville,Lakshmi,1/1/9999
d005,Development,10879,Chleq,Muzhong,1/1/9999
d004,Production,10883,Champarnaud,Shimshon,1/1/9999
d005,Development,10909,Atchley,Georgi,1/1/9999
d004,Production,10921,Bahi,Mara,1/1/9999
d007,Sales,10924,Atchley,Hironoby,1/1/9999
d001,Marketing,10927,Scallan,Gal,1/1/9999
d003,Human Resources,10936,Schicker,Mountaz,1/1/9999
d005,Development,10943,Skafidas,Berna,1/1/9999
d007,Sales,10965,Braunschweig,Eckart,1/1/9999
d005,Development,10969,Noriega,Premal,1/1/9999
d005,Development,10974,Papsdorf,Muneo,1/1/9999
d005,Development,10986,Schiper,Masako,1/1/9999
d005,Development,10988,Deyuan,Chinya,1/1/9999
d002,Finance,10989,Candan,Sumali,1/1/9999
d005,Development,10990,Foote,Shin,1/1/9999
d007,Sales,11009,Axelband,Alper,1/1/9999
d001,Marketing,11012,Speckmann,Taegyun,1/1/9999
d009,Customer Service,11012,Speckmann,Taegyun,1/1/9999
d005,Development,11019,Huttel,Leon,1/1/9999
d008,Research,11021,Henders,Srinidhi,1/1/9999
d004,Production,11027,Cappello,Remzi,1/1/9999
d001,Marketing,11031,Walstra,Ottavia,1/1/9999
d004,Production,11037,Maliniak,Lansing,1/1/9999
d008,Research,11038,Beidas,Jinya,1/1/9999
d005,Development,11042,Breugel,Gou,1/1/9999
d007,Sales,11048,Demke,Jaques,1/1/9999
d001,Marketing,11050,Katiyar,Elvis,1/1/9999
d004,Production,11051,Erol,Przemyslawa,1/1/9999
d006,Quality Management,11070,Raney,Adib,1/1/9999
d002,Finance,11081,Boyle,Barry,1/1/9999
d004,Production,11085,Thummel,Hailing,1/1/9999
d008,Research,11100,Cochrane,Berna,1/1/9999
d005,Development,11106,Iwayama,Aris,1/1/9999
d009,Customer Service,11112,Mukaidono,Boaz,1/1/9999
d001,Marketing,11113,Peng,Shahab,1/1/9999
d005,Development,11121,Kakkad,Vugranam,1/1/9999
d006,Quality Management,11133,Azulay,Nalini,1/1/9999
d006,Quality Management,11134,Rajcani,Sachar,1/1/9999
d005,Development,11137,Luca,Hugh,1/1/9999
d009,Customer Service,11139,Homond,Bogdan,1/1/9999
d007,Sales,11146,Masand,Ishfaq,1/1/9999
d002,Finance,11148,Botman,Zhanqiu,1/1/9999
d003,Human Resources,11148,Botman,Zhanqiu,1/1/9999
d005,Development,11162,Narlikar,Kauko,1/1/9999
d005,Development,11180,Bojadziev,Mitsuyuki,1/1/9999
d007,Sales,11197,Fordan,Tadahiro,1/1/9999
d004,Production,11204,Covnot,Diederik,1/1/9999
d005,Development,11207,Gips,Saeed,1/1/9999
d004,Production,11208,Valtorta,Saniya,1/1/9999
d004,Production,11211,Rissland,Yurij,1/1/9999
d004,Production,11217,Mawatari,Kellie,1/1/9999
d009,Customer Service,11232,Crelier,Hidefumi,1/1/9999
d005,Development,11240,Condotta,Kiam,1/1/9999
d005,Development,11249,Cyre,Randi,1/1/9999
d001,Marketing,11251,Chinal,Bezalel,1/1/9999
d004,Production,11268,Petersohn,Aimee,1/1/9999
d005,Development,11275,Eppinger,Hitomi,1/1/9999
d005,Development,11290,Dredge,Visit,1/1/9999
d002,Finance,11295,Lanzelotte,Abdelkader,1/1/9999
d005,Development,11319,Marrakchi,Pranas,1/1/9999
d001,Marketing,11320,McAlpine,Atilio,1/1/9999
d006,Quality Management,11322,Pocchiola,Nathalie,1/1/9999
d004,Production,11324,Billingsley,Kauko,1/1/9999
d007,Sales,11338,Hanratty,Kwangsub,1/1/9999
d004,Production,11339,Massonet,Flemming,1/1/9999
d005,Development,11347,Jonsson,Anneli,1/1/9999
d004,Production,11365,Shinomoto,Toshimi,1/1/9999
d008,Research,11376,Suomi,Valery,1/1/9999
d005,Development,11380,Pelc,Kenroku,1/1/9999
d004,Production,11385,Ullian,Shiv,1/1/9999
d006,Quality Management,11386,Assaf,Alselm,1/1/9999
d004,Production,11393,Junot,Junsik,1/1/9999
d002,Finance,11398,Peir,Oscar,1/1/9999
d005,Development,11404,Borovoy,Bedrich,1/1/9999
d004,Production,11415,Anido,Sanjiv,1/1/9999
d004,Production,11421,Msuda,Josyula,1/1/9999
d007,Sales,11441,Aingworth,Marlo,1/1/9999
d004,Production,11449,Asser,Kotesh,1/1/9999
d003,Human Resources,11459,Suomi,Duke,1/1/9999
d004,Production,11469,Giaccio,Guttorm,1/1/9999
d007,Sales,11506,Picel,Rance,1/1/9999
d005,Development,11509,Feldhoffer,Aleksander,1/1/9999
d002,Finance,11513,Mahnke,Otmar,1/1/9999
d007,Sales,11515,Basawa,Ulf,1/1/9999
d003,Human Resources,11518,Oxman,Jinxi,1/1/9999
d005,Development,11524,Standera,Xiadong,1/1/9999
d001,Marketing,11527,Boyle,Alagu,1/1/9999
d004,Production,11528,Dolinsky,Zito,1/1/9999
d007,Sales,11537,Pehl,DAIDA,1/1/9999
d001,Marketing,11554,Taubenfeld,Subhash,1/1/9999
d003,Human Resources,11554,Taubenfeld,Subhash,1/1/9999
d003,Human Resources,11555,Perfilyeva,Kotesh,1/1/9999
d007,Sales,11567,Mitzlaff,Teiji,1/1/9999
d005,Development,11568,Fujisaki,Martins,1/1/9999
d002,Finance,11603,Swen,Herb,1/1/9999
d004,Production,11607,Foong,Tomokazu,1/1/9999
d007,Sales,11615,Isaak,Shem,1/1/9999
d004,Production,11624,Gammage,Adil,1/1/9999
d005,Development,11628,Malinowski,Fan,1/1/9999
d008,Research,11628,Malinowski,Fan,1/1/9999
d005,Development,11640,Coorg,Valeri,1/1/9999
d005,Development,11647,Nitsche,Magy,1/1/9999
d007,Sales,11660,Stenning,Gill,1/1/9999
d004,Production,11673,Felder,Henk,1/1/9999
d004,Production,11676,Ferriere,Valeri,1/1/9999
d004,Production,11681,Benzmuller,Fumitake,1/1/9999
d001,Marketing,11684,Gide,Oksana,1/1/9999
d007,Sales,11696,Rothe,Dante,1/1/9999
d004,Production,11732,Ranft,Sanjoy,1/1/9999
d009,Customer Service,11732,Ranft,Sanjoy,1/1/9999
d009,Customer Service,11735,Picci,Amalendu,1/1/9999
d007,Sales,11746,Marrakchi,Koichi,1/1/9999
d008,Research,11751,Emiris,Jiafu,1/1/9999
d004,Production,11764,Anick,Sanjay,1/1/9999
d005,Development,11769,Lampe,Chandrasekaran,1/1/9999
d008,Research,11769,Lampe,Chandrasekaran,1/1/9999
d005,Development,11772,Penz,Gaurav,1/1/9999
d001,Marketing,11797,Thambidurai,Chenxi,1/1/9999
d007,Sales,11797,Thambidurai,Chenxi,1/1/9999
d005,Development,11810,Bhattacharjee,Amabile,1/1/9999
d007,Sales,11817,Markovitch,Niranjan,1/1/9999
d005,Development,11832,Zlotek,Arto,1/1/9999
d005,Development,11844,Demeyer,Shawna,1/1/9999
d001,Marketing,11853,Kusakabe,Zeljko,1/1/9999
d007,Sales,11857,Farrag,Divier,1/1/9999
d009,Customer Service,11864,Kriebel,Pradeep,1/1/9999
d005,Development,11871,Sommen,Nalini,1/1/9999
d001,Marketing,11872,Riexinger,Cheong,1/1/9999
d005,Development,11894,Validov,Mitchel,1/1/9999
d007,Sales,11897,Setlzner,Cordelia,1/1/9999
d005,Development,11906,Boguraev,Hideo,1/1/9999
d004,Production,11915,Mawatari,Miomir,1/1/9999
d008,Research,11931,Chiodo,Gunilla,1/1/9999
d005,Development,11933,Erman,Basil,1/1/9999
d004,Production,11949,Harbusch,Martijn,1/1/9999
d005,Development,11983,Hedayat,Jaana,1/1/9999
d003,Human Resources,11993,Dalphin,Marit,1/1/9999
d007,Sales,12011,Coorg,Zhilian,1/1/9999
d001,Marketing,12036,Ratzlaff,Mads,1/1/9999
d007,Sales,12036,Ratzlaff,Mads,1/1/9999
d009,Customer Service,12037,Katzenelson,Arunas,1/1/9999
d004,Production,12050,Tchuente,Yuchang,1/1/9999
d003,Human Resources,12062,Worfolk,Margareta,1/1/9999
d005,Development,12069,Burnard,Ayonca,1/1/9999
d005,Development,12070,Shokrollahi,Ger,1/1/9999
d007,Sales,12076,Siprelle,Karlis,1/1/9999
d007,Sales,12082,Yamaashi,Xinan,1/1/9999
d003,Human Resources,12089,Socorro,Bilhanan,1/1/9999
d007,Sales,12099,Kuzuoka,Nobuyoshi,1/1/9999
d002,Finance,12112,Avouris,Satyanarayana,1/1/9999
d004,Production,12122,Krone,Satoru,1/1/9999
d008,Research,12123,Syrzycki,Xiahua,1/1/9999
d004,Production,12125,Erman,Shounak,1/1/9999
d005,Development,12125,Erman,Shounak,1/1/9999
d007,Sales,12149,Grandbois,Suebskul,1/1/9999
d005,Development,12159,Perly,Shem,1/1/9999
d005,Development,12165,Maquelin,Xiaobin,1/1/9999
d006,Quality Management,12183,Iisaku,Harngdar,1/1/9999
d006,Quality Management,12192,Klyachko,Feiyu,1/1/9999
d005,Development,12205,Rossi,Sushant,1/1/9999
d005,Development,12206,Janetzko,Barton,1/1/9999
d006,Quality Management,12218,Strooper,Yaghout,1/1/9999
d005,Development,12221,Melter,Vincent,1/1/9999
d002,Finance,12222,Holburn,Abdelwaheb,1/1/9999
d004,Production,12223,Koyama,Niteen,1/1/9999
d005,Development,12247,Penttonen,Subbu,1/1/9999
d005,Development,12249,Sadowski,Eldridge,1/1/9999
d003,Human Resources,12256,Reghbati,Guadalupe,1/1/9999
d005,Development,12264,Pagter,Mart,1/1/9999
d008,Research,12270,Kornyak,Shakhar,1/1/9999
d003,Human Resources,12272,Grandbois,Behnaam,1/1/9999
d002,Finance,12308,Cronau,Mototsugu,1/1/9999
d003,Human Resources,12308,Cronau,Mototsugu,1/1/9999
d005,Development,12311,Lubachevsky,Susanne,1/1/9999
d005,Development,12327,Bruckman,DAIDA,1/1/9999
d005,Development,12341,Luga,Rasiah,1/1/9999
d004,Production,12343,Slaats,Sorina,1/1/9999
d009,Customer Service,12343,Slaats,Sorina,1/1/9999
d004,Production,12365,Bisiani,Kamakshi,1/1/9999
d007,Sales,12373,Driscoll,Mooi,1/1/9999
d002,Finance,12395,Felder,Sanjit,1/1/9999
d007,Sales,12399,Luga,Mihalis,1/1/9999
d007,Sales,12411,Ibel,Shao,1/1/9999
d004,Production,12413,Gadepally,Hugh,1/1/9999
d004,Production,12417,Spelt,Dannz,1/1/9999
d003,Human Resources,12422,Demos,Berhard,1/1/9999
d007,Sales,12454,Farris,Kerryn,1/1/9999
d007,Sales,12464,Milicic,Shai,1/1/9999
d005,Development,12475,Roison,Filipe,1/1/9999
d002,Finance,12487,Reghbati,Mona,1/1/9999
d003,Human Resources,12487,Reghbati,Mona,1/1/9999
d005,Development,12489,Munck,Arnould,1/1/9999
d005,Development,12490,Muchinsky,Jackson,1/1/9999
d007,Sales,12497,Penz,Stein,1/1/9999
d002,Finance,12501,Matheson,Morrie,1/1/9999
d004,Production,12504,Rosaz,Adly,1/1/9999
d005,Development,12514,Melter,Tomofumi,1/1/9999
d009,Customer Service,12528,Cincotta,Conor,1/1/9999
d004,Production,12534,Gerlach,Yongmao,1/1/9999
d007,Sales,12541,Nanard,Shih,1/1/9999
d003,Human Resources,12542,Bouloucos,Kazuhide,1/1/9999
d004,Production,12551,Tzvieli,Jeane,1/1/9999
d003,Human Resources,12553,Vesna,Aral,1/1/9999
d004,Production,12557,Kopetz,Stafford,1/1/9999
d006,Quality Management,12557,Kopetz,Stafford,1/1/9999
d005,Development,12589,Chleq,Anoosh,1/1/9999
d003,Human Resources,12596,Roisin,Breannda,1/1/9999
d005,Development,12601,Simkin,Ghassan,1/1/9999
d003,Human Resources,12608,Mondadori,Nectarios,1/1/9999
d004,Production,12635,Restivo,Xinyu,1/1/9999
d009,Customer Service,12635,Restivo,Xinyu,1/1/9999
d005,Development,12638,Seiwald,Yuqun,1/1/9999
d001,Marketing,12642,Gips,Suebskul,1/1/9999
d007,Sales,12651,Bael,Pragnesh,1/1/9999
d005,Development,12662,Alvarado,Leucio,1/1/9999
d005,Development,12663,Stellhorn,Nobuyoshi,1/1/9999
d007,Sales,12664,Parveen,Zhonghua,1/1/9999
